fullName,states,latitude,longitude,designation,parkCode,activities,entranceFees
Birmingham Civil Rights National Monument,AL,33.5154266357,-86.814666748,National Monument,bicr,"Guided Tours,Self-Guided Tours - Walking,Museum Exhibits",
Biscayne National Park,FL,25.490587,-80.21023851,National Park,bisc,"Boating,Motorized Boating,Sailing,Boat Tour,Camping,Fishing,Guided Tours,Boat Tour,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,SCUBA Diving,Snorkeling,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Black Canyon Of The Gunnison National Park,CO,38.57779869,-107.7242756,National Park,blca,"Astronomy,Stargazing,Camping,Backcountry Camping,Car or Front Country Camping,RV Camping,Climbing,Rock Climbing,Fishing,Fly Fishing,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Paddling,Kayaking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",30.00
Blackstone River Valley National Historical Park,"RI,MA",41.8775792792,-71.382433945,National Historical Park,blrv,"Biking,Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Paddling,Canoeing,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching",
Blackwell School National Historic Site,TX,30.3057966497568,-104.022553112857,National Historic Site,blsc,,
Blue Ridge Parkway,"NC,VA",35.5657195274,-82.486484587,Parkway,blri,"Arts and Culture,Live Music,Auto and ATV,Scenic Driving,Biking,Road Biking,Camping,Car or Front Country Camping,Fishing,Freshwater Fishing,Food,Picnicking,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Shopping,Bookstore and Park Store",
Bluestone National Scenic River,WV,37.56577087,-80.98366657,National Scenic River,blue,"Biking,Mountain Biking,Boating,Fishing,Freshwater Fishing,Guided Tours,Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching",
Booker T Washington National Monument,VA,37.11520539,-79.73185833,National Monument,bowa,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Living History,Reenactments,Junior Ranger Program,Park Film,Museum Exhibits",
Boston African American National Historic Site,MA,42.35908295,-71.06764181,National Historic Site,boaf,"Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Museum Exhibits",
Boston Harbor Islands National Recreation Area,MA,42.30905526,-70.93941138,National Recreation Area,boha,"Arts and Culture,Live Music,Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Fishing,Saltwater Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Living History,Paddling,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching",
Boston National Historical Park,MA,42.36957407,-71.05536763,National Historical Park,bost,"Fishing,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Museum Exhibits",
Brices Cross Roads National Battlefield Site,MS,34.50611958,-88.72889343,National Battlefield Site,brcr,"Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto",
Brown v. Board of Education National Historical Park,KS,39.03787665,-95.67614437,National Historical Park,brvb,"Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Bryce Canyon National Park,UT,37.58399144,-112.1826689,National Park,brca,"Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Auto,Hands-On,Citizen Science,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",35.00
Buck Island Reef National Monument,VI,17.81026717,-64.6222179,National Monument,buis,"Boating,Sailing,Hiking,Paddling,Kayaking,SCUBA Diving,Snorkeling,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching",
Buffalo National River,AR,36.04116481,-92.90761584,National River,buff,"Camping,Backcountry Camping,Caving,Fishing,Freshwater Fishing,Food,Dining,Picnicking,Guided Tours,Hiking,Backcountry Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Swimming,Freshwater Swimming,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store",
Butterfield Overland National Historic Trail,"MO,AR,OK,TX,NM,AZ,CA",32.2768237589,-106.796583304,National Historic Trail,buov,,
Cabrillo National Monument,CA,32.6722503,-117.2415985,National Monument,cabr,"Biking,Road Biking,Hiking,Living History,Reenactments,Historic Weapons Demonstration,First Person Interpretation,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",20.00
California National Historic Trail,"CA,CO,ID,KS,MO,NE,NV,OR,UT,WY",42.3999643979,-108.702415369,National Historic Trail,cali,"Auto and ATV,Scenic Driving,Guided Tours,Self-Guided Tours - Auto,Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Museum Exhibits",
Camp Nelson National Monument,KY,37.7970179913,-84.598168306,National Monument,cane,"Hiking,Front-Country Hiking,Junior Ranger Program,Park Film,Museum Exhibits",
Canaveral National Seashore,FL,28.78637529,-80.75419576,National Seashore,cana,"Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Group Camping,Fishing,Guided Tours,Hiking,Horse Trekking,Horseback Riding,Paddling,Junior Ranger Program,Surfing,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Gift Shop and Souvenirs",25.00
Cane River Creole National Historical Park,LA,31.65408447,-93.00131977,National Historical Park,cari,"Arts and Culture,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program",
Canyon de Chelly National Monument,AZ,36.14319567,-109.3388303,National Monument,cach,"Auto and ATV,Scenic Driving,Camping,Guided Tours,Hiking,Junior Ranger Program,Shopping,Bookstore and Park Store",
Canyonlands National Park,UT,38.24555783,-109.8801624,National Park,cany,"Astronomy,Stargazing,Biking,Boating,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,Climbing,Rock Climbing,Guided Tours,Boat Tour,Hiking,Horse Trekking,Horseback Riding,Paddling,Canoe or Kayak Camping,Whitewater Rafting,Junior Ranger Program,Park Film,Shopping,Bookstore and Park Store",30.00
Cape Cod National Seashore,MA,41.92381465,-70.04319832,National Seashore,caco,"Auto and ATV,Auto Off-Roading,Biking,Camping,RV Camping,Fishing,Freshwater Fishing,Saltwater Fishing,Golf,Guided Tours,Bus/Shuttle Guided Tour,Hiking,Front-Country Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Surfing,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",25.00
Cape Hatteras National Seashore,NC,35.41370839,-75.65061112,National Seashore,caha,"Auto and ATV,Auto Off-Roading,Astronomy,Stargazing,Camping,Car or Front Country Camping,Group Camping,RV Camping,Fishing,Saltwater Fishing,Food,Picnicking,Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Junior Ranger Program,Snorkeling,Surfing,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store",
Cape Henry Memorial Part of Colonial National Historical Park,VA,36.9278094,-76.0088219,Part of Colonial National Historical Park,came,"Guided Tours,Self-Guided Tours - Walking",
Cape Krusenstern National Monument,AK,67.41499986,-163.5037786,National Monument,cakr,"Camping,Backcountry Camping,Flying,Fixed Wing Flying,Hands-On,Arts and Crafts,Hiking,Backcountry Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store",
Cape Lookout National Seashore,NC,34.8267961,-76.34319082,National Seashore,calo,"Auto and ATV,ATV Off-Roading,Auto Off-Roading,Astronomy,Stargazing,Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Fishing,Saltwater Fishing,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Swimming,Saltwater Swimming,Wildlife Watching,Shopping,Bookstore and Park Store",
Capitol Hill Parks,DC,38.889993,-76.990332,,cahi,"Arts and Culture,Biking,Food,Picnicking,Flying,Guided Tours,Self-Guided Tours - Walking,Bus/Shuttle Guided Tour,Junior Ranger Program,Playground",
Capitol Reef National Park,UT,38.2821653131,-111.247048378,National Park,care,"Arts and Culture,Cultural Demonstrations,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Canyoneering,Climbing,Rock Climbing,Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hands-On,Citizen Science,Arts and Crafts,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Living History,First Person Interpretation,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",20.00
Captain John Smith Chesapeake National Historic Trail,"VA,MD,DE,DC,PA,NY",38.971601,-76.483355,National Historic Trail,cajo,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Boating,Sailing,Boat Tour,Camping,Canoe or Kayak Camping,Car or Front Country Camping,RV Camping,Compass and GPS,Geocaching,Fishing,Food,Picnicking,Guided Tours,Boat Tour,Hands-On,Arts and Crafts,Hiking,Front-Country Hiking,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Whitewater Rafting,Junior Ranger Program,Tubing,River Tubing,Swimming,Wildlife Watching,Birdwatching,Museum Exhibits",
Capulin Volcano National Monument,NM,36.78171096,-103.9710427,National Monument,cavo,"Astronomy,Stargazing,Biking,Road Biking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits",20.00
Carl Sandburg Home National Historic Site,NC,35.26815509,-82.45106258,National Historic Site,carl,"Arts and Culture,Theater,Guided Tours",
Carlisle Federal Indian Boarding School National Monument,PA,40.2094,-77.17971,National Monument,cibs,,
Carlsbad Caverns National Park,NM,32.14089463,-104.5529688,National Park,cave,"Astronomy,Stargazing,Camping,Caving,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",1.00
Carter G. Woodson Home National Historic Site,DC,38.91089286,-77.02431104,National Historic Site,cawo,"Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Casa Grande Ruins National Monument,AZ,32.99702582,-111.5325383,National Monument,cagr,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Food,Picnicking,Guided Tours,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Castillo de San Marcos National Monument,FL,29.89785701,-81.31217173,National Monument,casa,"Living History,Historic Weapons Demonstration,Junior Ranger Program,Park Film",15.00
Castle Clinton National Monument,NY,40.70347795,-74.01680558,National Monument,cacl,"Arts and Culture,Guided Tours,Junior Ranger Program,Shopping,Bookstore and Park Store",
Castle Mountains National Monument,CA,35.29156348,-115.0935606,National Monument,camo,"Camping,Car or Front Country Camping,Group Camping,RV Camping",
Catoctin Mountain Park,MD,39.65068457,-77.46417665,Park,cato,"Camping,Car or Front Country Camping,Group Camping,Climbing,Compass and GPS,Orienteering,Fishing,Fly Fishing,Food,Picnicking,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Museum Exhibits,Shopping,Bookstore and Park Store",
Cedar Breaks National Monument,UT,37.63545562,-112.845268,National Monument,cebr,"Arts and Culture,Astronomy,Stargazing,Camping,Food,Picnicking,Guided Tours,Hiking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowmobiling,Snowshoeing,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",10.00
