fullName,states,latitude,longitude,designation,parkCode,activities,entranceFees
Knife River Indian Villages National Historic Site,ND,47.3540219,-101.3860533,National Historic Site,knri,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Compass and GPS,Geocaching,Fishing,Freshwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Citizen Science,Arts and Crafts,Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Kobuk Valley National Park,AK,67.35631336,-159.2002293,National Park,kova,"Boating,Camping,Backcountry Camping,Fishing,Freshwater Fishing,Flying,Fixed Wing Flying,Hands-On,Arts and Crafts,Hiking,Backcountry Hiking,Paddling,Canoeing,Canoe or Kayak Camping,Junior Ranger Program,Wildlife Watching,Museum Exhibits,Shopping,Bookstore and Park Store",
Korean War Veterans Memorial,DC,38.88784226,-77.04773857,,kowa,"Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program",
LBJ Memorial Grove on the Potomac,DC,38.87858036,-77.05145832,,lyba,"Biking,Road Biking,Hiking,Off-Trail Permitted Hiking,Paddling,Canoeing,Kayaking,Wildlife Watching,Birdwatching",
Lake Clark National Park & Preserve,AK,60.57405857,-153.55535,National Park & Preserve,lacl,"Astronomy,Stargazing,Biking,Boating,Motorized Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Climbing,Mountain Climbing,Compass and GPS,Orienteering,Fishing,Freshwater Fishing,Fly Fishing,Flying,Fixed Wing Flying,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store",
Lake Mead National Recreation Area,"AZ,NV",35.96622528,-114.3469067,National Recreation Area,lake,"Auto and ATV,Scenic Driving,Biking,Road Biking,Boating,Motorized Boating,Sailing,Jet Skiing,Boat Tour,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Fishing,Freshwater Fishing,Food,Dining,Picnicking,Flying,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,SCUBA Diving,Snorkeling,Swimming,Freshwater Swimming,Water Skiing,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",25.00
Lake Meredith National Recreation Area,TX,35.61926203,-101.6820066,National Recreation Area,lamr,"Auto and ATV,ATV Off-Roading,Biking,Mountain Biking,Boating,Camping,Fishing,Food,Guided Tours,Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Junior Ranger Program,Shopping,Bookstore and Park Store",
Lake Roosevelt National Recreation Area,WA,48.17148735,-118.3513713,National Recreation Area,laro,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Boating,Motorized Boating,Sailing,Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,RV Camping,Fishing,Freshwater Fishing,Food,Picnicking,Hands-On,Citizen Science,Volunteer Vacation,Hiking,Front-Country Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Swimming,Freshwater Swimming,Park Film,Museum Exhibits",
Lassen Volcanic National Park,CA,40.49354575,-121.4075993,National Park,lavo,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Compass and GPS,Geocaching,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Auto,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Living History,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Swimming,Freshwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",30.00
Lava Beds National Monument,CA,41.75915823,-121.5172189,National Monument,labe,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Caving,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Skiing,Cross-Country Skiing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",25.00
Lewis & Clark National Historic Trail,"IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV",41.2646141052,-95.9245147705,National Historic Trail,lecl,"Auto and ATV,Scenic Driving,Biking,Boating,Fishing,Guided Tours,Hiking,Living History,Junior Ranger Program,Snowshoeing,Wildlife Watching,Museum Exhibits,Shopping,Bookstore and Park Store",
Lewis and Clark National Historical Park,"OR,WA",46.21178735,-123.9638583,National Historical Park,lewi,"Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Hunting and Gathering,Gathering and Foraging,Living History,Historic Weapons Demonstration,Paddling,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",10.00
Lincoln Boyhood National Memorial,IN,38.11817004,-86.99656861,National Memorial,libo,"Arts and Culture,Cultural Demonstrations,Biking,Road Biking,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Living History,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Lincoln Home National Historic Site,IL,39.79715642,-89.64513397,National Historic Site,liho,"Arts and Culture,Cultural Demonstrations,Guided Tours,Self-Guided Tours - Walking,Hands-On,Arts and Crafts,Living History,Reenactments,Historic Weapons Demonstration,First Person Interpretation,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Lincoln Memorial,DC,38.88927229,-77.05017778,,linc,"Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",1.00
Little Bighorn Battlefield National Monument,MT,45.55633048,-107.4183614,National Monument,libi,"Auto and ATV,Scenic Driving,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store",25.00
Little River Canyon National Preserve,AL,34.41461863,-85.61734327,National Preserve,liri,"Auto and ATV,Scenic Driving,Biking,Mountain Biking,Road Biking,Climbing,Rock Climbing,Fishing,Freshwater Fishing,Fly Fishing,Food,Picnicking,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Junior Ranger Program,Swimming,Freshwater Swimming,Wildlife Watching,Birdwatching,Shopping,Gift Shop and Souvenirs",15.00
Little Rock Central High School National Historic Site,AR,34.7369465,-92.29987899,National Historic Site,chsc,"Arts and Culture,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Park Film,Museum Exhibits",
Longfellow House Washington's Headquarters National Historic Site,MA,42.37698854,-71.12636956,National Historic Site,long,"Arts and Culture,Live Music,Guided Tours,Hands-On,Arts and Crafts,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store",
Lowell National Historical Park,MA,42.6455371,-71.31588673,National Historical Park,lowe,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Boating,Boat Tour,Guided Tours,Self-Guided Tours - Walking,Boat Tour,Hands-On,Arts and Crafts,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Lower Delaware National Wild and Scenic River,"PA,NJ",40.4000389,-74.983737,National Wild and Scenic River,lode,"Auto and ATV,Scenic Driving,Boating,Camping,Fishing,Food,Picnicking,Hiking,Paddling,Junior Ranger Program",
Lower East Side Tenement Museum National Historic Site,NY,40.7187683,-73.99001245,National Historic Site,loea,"Arts and Culture,Guided Tours,Living History,First Person Interpretation,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",30.00
Lyndon B Johnson National Historical Park,TX,30.2519655,-98.60692433,National Historical Park,lyjo,"Guided Tours,Self-Guided Tours - Auto,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Maggie L Walker National Historic Site,VA,37.54781499,-77.43746979,National Historic Site,mawa,"Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Shopping,Bookstore and Park Store",
Maine Acadian Culture,ME,47.25102114,-68.59447532,,maac,"Arts and Culture,Fishing,Food,Museum Exhibits",
Mammoth Cave National Park,KY,37.19760458,-86.13090198,National Park,maca,"Astronomy,Stargazing,Biking,Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Caving,Fishing,Freshwater Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store",
Manassas National Battlefield Park,VA,38.81710063,-77.5353468,National Battlefield Park,mana,"Fishing,Guided Tours,Hiking,Horse Trekking,Horseback Riding,Living History,Junior Ranger Program,Park Film,Museum Exhibits",
Manhattan Project National Historical Park,"NM,WA,TN",35.88096,-106.30214,National Historical Park,mapr,"Guided Tours,Junior Ranger Program,Park Film,Museum Exhibits",
Manzanar National Historic Site,CA,36.72559195,-118.1547177,National Historic Site,manz,"Biking,Road Biking,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Marsh - Billings - Rockefeller National Historical Park,VT,43.63348732,-72.53424638,National Historical Park,mabi,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Food,Picnicking,Guided Tours,Hands-On,Citizen Science,Arts and Crafts,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
"Martin Luther King, Jr. Memorial",DC,38.8862276865,-77.0442195534,,mlkm,"Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
"Martin Luther King, Jr. National Historical Park",GA,33.75618241,-84.37256768,National Historical Park,malu,"Arts and Culture,Guided Tours,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store",
Martin Van Buren National Historic Site,NY,42.36819596,-73.70834257,National Historic Site,mava,"Arts and Culture,Compass and GPS,Geocaching,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store",
Mary McLeod Bethune Council House National Historic Site,DC,38.90819107,-77.03096742,National Historic Site,mamc,"Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Medgar and Myrlie Evers Home National Monument,MS,32.34096274,-90.21264553,National Monument,memy,,
Mesa Verde National Park,CO,37.23908345,-108.4624032,National Park,meve,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Food,Guided Tours,Hiking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",30.00
Mill Springs Battlefield National Monument,KY,37.0688158602,-84.7375361304,National Monument,misp,"Guided Tours,Self-Guided Tours - Auto,Junior Ranger Program,Park Film,Museum Exhibits",
Minidoka National Historic Site,"ID,WA",42.678,-114.2465,National Historic Site,miin,"Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Museum Exhibits",
Minute Man National Historical Park,MA,42.4562778,-71.30738884,National Historical Park,mima,"Guided Tours,Hiking,Front-Country Hiking,Living History,Historic Weapons Demonstration,Junior Ranger Program,Shopping,Bookstore and Park Store",
Minuteman Missile National Historic Site,SD,43.89558013,-102.0272131,National Historic Site,mimi,"Guided Tours,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Mississippi National River & Recreation Area,MN,44.942487,-93.098712,National River & Recreation Area,miss,"Biking,Mountain Biking,Road Biking,Boating,Compass and GPS,Geocaching,Fishing,Freshwater Fishing,Hiking,Front-Country Hiking,Hunting and Gathering,Hunting,Living History,Reenactments,Historic Weapons Demonstration,First Person Interpretation,Paddling,Canoeing,Kayaking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Wildlife Watching,Birdwatching,Museum Exhibits",
Missouri National Recreational River,"SD,NE",42.7882189,-97.59077822,National Recreational River,mnrr,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,RV Camping,Fishing,Freshwater Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Citizen Science,Hiking,Front-Country Hiking,Hunting and Gathering,Hunting,Living History,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Playground,Skiing,Cross-Country Skiing,Swimming,Pool Swimming,Freshwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Mojave National Preserve,CA,35.12485941,-115.5168258,National Preserve,moja,"Auto and ATV,Auto Off-Roading,Scenic Driving,Astronomy,Stargazing,Biking,Mountain Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Food,Picnicking,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Hunting,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Monocacy National Battlefield,MD,39.36084236,-77.39637677,National Battlefield,mono,"Auto and ATV,Scenic Driving,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Front-Country Hiking,Living History,Historic Weapons Demonstration,First Person Interpretation,Paddling,Canoeing,Kayaking,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Montezuma Castle National Monument,AZ,34.62237771,-111.8147857,National Monument,moca,"Arts and Culture,Cultural Demonstrations,Astronomy,Camping,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store",10.00
Moores Creek National Battlefield,NC,34.45820776,-78.11031134,National Battlefield,mocr,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Fishing,Guided Tours,Living History,Historic Weapons Demonstration,Paddling,Canoeing,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Mormon Pioneer National Historic Trail,"IL,IA,NE,UT,WY",41.2650321741,-101.84083756,National Historic Trail,mopi,"Auto and ATV,Scenic Driving,Guided Tours,Self-Guided Tours - Auto,Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Museum Exhibits",
Morristown National Historical Park,NJ,40.7650755,-74.53455122,National Historical Park,morr,"Arts and Culture,Biking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Living History,Reenactments,Historic Weapons Demonstration,First Person Interpretation,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Mount Rainier National Park,WA,46.86075416,-121.7043885,National Park,mora,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,Climbing,Mountain Climbing,Fishing,Freshwater Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hands-On,Citizen Science,Hiking,Backcountry Hiking,Front-Country Hiking,Living History,Junior Ranger Program,Skiing,Snow Play,Snowmobiling,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",30.00
Mount Rushmore National Memorial,SD,43.88037021,-103.4525186,National Memorial,moru,"Food,Dining,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Muir Woods National Monument,CA,37.89658027,-122.5808047,National Monument,muwo,"Food,Dining,Guided Tours,Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store",15.00
Natchez National Historical Park,MS,31.54697621,-91.39040665,National Historical Park,natc,"Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Natchez Trace National Scenic Trail,"AL,MS,TN",34.330290333,-88.7100104094,National Scenic Trail,natt,"Hiking,Horse Trekking,Horseback Riding",
Natchez Trace Parkway,"AL,MS,TN",33.78002293,-89.03092439,Parkway,natr,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Car or Front Country Camping,RV Camping,Compass and GPS,Geocaching,Fishing,Freshwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
National Capital Parks-East,DC,38.8659,-76.994,,nace,Biking,
National Mall and Memorial Parks,DC,38.8899,-77.026,,nama,"Arts and Culture,Cultural Demonstrations,Live Music,Biking,Road Biking,Boating,Fishing,Golf,Mini-Golf,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
National Park of American Samoa,AS,-14.22865935,-169.8503777,,npsa,"Arts and Culture,Live Music,Hands-On,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Living History,Historic Weapons Demonstration,First Person Interpretation,SCUBA Diving,Snorkeling,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
National Parks of New York Harbor,NY,40.6632,-74.0451,,npnh,"Arts and Culture,Cultural Demonstrations,Live Music,Theater,Astronomy,Stargazing,Biking,Road Biking,Boating,Boat Tour,Camping,Fishing,Saltwater Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Boat Tour,Hands-On,Citizen Science,Arts and Crafts,Hiking,Living History,Paddling,Kayaking,Junior Ranger Program,Surfing,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Natural Bridges National Monument,UT,37.6045329,-110.0022436,National Monument,nabr,"Astronomy,Stargazing,Camping,Hiking,Junior Ranger Program,Park Film,Shopping,Bookstore and Park Store",20.00
Navajo National Monument,AZ,36.71755643,-110.5504015,National Monument,nava,"Arts and Culture,Cultural Demonstrations,Astronomy,Stargazing,Camping,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Shopping,Bookstore and Park Store",
New Bedford Whaling National Historical Park,MA,41.63540552,-70.92322321,National Historical Park,nebe,"Junior Ranger Program,Shopping,Bookstore and Park Store",
New England National Scenic Trail,"MA,CT",42.2915819137,-72.5242767334,National Scenic Trail,neen,"Camping,Backcountry Camping,Food,Dining,Hiking,Backcountry Hiking,Front-Country Hiking,Snowshoeing",
New Jersey Pinelands National Reserve,NJ,39.9384,-74.625,National Reserve,pine,,
New Orleans Jazz National Historical Park,LA,29.96303129,-90.06749669,National Historical Park,jazz,"Arts and Culture,Cultural Demonstrations,Live Music,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
New Philadelphia National Historic Site,IL,39.69803,-90.96131,National Historic Site,neph,Guided Tours,
New River Gorge National Park & Preserve,WV,37.86878554,-80.99956002,National Park & Preserve,neri,"Arts and Culture,Theater,Auto and ATV,Scenic Driving,Astronomy,Biking,Mountain Biking,Road Biking,Boating,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,RV Camping,Climbing,Rock Climbing,Fishing,Freshwater Fishing,Fly Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Whitewater Rafting,Junior Ranger Program,Playground,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Nez Perce National Historical Park,"ID,MT,OR,WA",46.07019093,-115.8761258,National Historical Park,nepe,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Horse Trekking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Nicodemus National Historic Site,KS,39.39167606,-99.61680329,National Historic Site,nico,"Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Junior Ranger Program,Park Film",
Ninety Six National Historic Site,SC,34.14273587,-82.01636079,National Historic Site,nisi,"Boating,Fishing,Freshwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Living History,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Niobrara National Scenic River,NE,42.79413083,-99.91870646,National Scenic River,niob,"Astronomy,Stargazing,Biking,Camping,Fishing,Guided Tours,Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Tubing,River Tubing,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",
Noatak National Preserve,AK,68.01027053,-159.831694,National Preserve,noat,"Boating,Camping,Backcountry Camping,Fishing,Freshwater Fishing,Flying,Fixed Wing Flying,Hands-On,Arts and Crafts,Hiking,Backcountry Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Junior Ranger Program,Wildlife Watching,Park Film,Museum Exhibits",
North Cascades National Park,WA,48.71171756,-121.2069423,National Park,noca,"Auto and ATV,Scenic Driving,Biking,Road Biking,Boating,Motorized Boating,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Climbing,Rock Climbing,Fishing,Guided Tours,Bus/Shuttle Guided Tour,Hands-On,Citizen Science,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Paddling,Canoe or Kayak Camping,Junior Ranger Program,Shopping,Bookstore and Park Store",
North Country National Scenic Trail,"MI,MN,ND,NY,OH,PA,VT,WI",46.334400743,-90.8165630499,National Scenic Trail,noco,"Biking,Mountain Biking,Camping,Backcountry Camping,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Shopping,Gift Shop and Souvenirs",
Obed Wild & Scenic River,TN,36.1056026037,-84.5979170501,Wild & Scenic River,obed,"Astronomy,Stargazing,Camping,Climbing,Rock Climbing,Fishing,Freshwater Fishing,Hiking,Hunting and Gathering,Paddling,Canoe or Kayak Camping,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film",
Ocmulgee Mounds National Historical Park,GA,32.83816576,-83.60224853,National Historical Park,ocmu,"Biking,Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Gift Shop and Souvenirs",
Oklahoma City National Memorial,OK,35.473,-97.5171,National Memorial,okci,"Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program",18.00
Old Spanish National Historic Trail,"AZ,CA,CO,NV,NM,UT",37.0791782514,-112.114693431,National Historic Trail,olsp,"Arts and Culture,Theater,Auto and ATV,Scenic Driving,Hiking,Horse Trekking",
Olympic National Park,WA,47.80392754,-123.6663848,National Park,olym,"Astronomy,Stargazing,Biking,Road Biking,Boating,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Climbing,Mountain Climbing,Fishing,Freshwater Fishing,Fly Fishing,Saltwater Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Auto,Hands-On,Citizen Science,Arts and Crafts,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horse Camping (see also camping),Paddling,Canoeing,Kayaking,Junior Ranger Program,Tubing,Snow Tubing,Skiing,Cross-Country Skiing,Downhill Skiing,Snow Play,Snowshoeing,Surfing,Swimming,Pool Swimming,Freshwater Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",30.00
Oregon Caves National Monument & Preserve,OR,42.10319143,-123.4018586,National Monument & Preserve,orca,"Camping,Car or Front Country Camping,RV Camping,Caving,Food,Dining,Picnicking,Guided Tours,Hands-On,Citizen Science,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Hunting and Gathering,Hunting,Junior Ranger Program,Swimming,Freshwater Swimming,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",20.00
Oregon National Historic Trail,"ID,KS,MO,NE,OR,WA,WY",41.9876977831,-109.634200841,National Historic Trail,oreg,"Auto and ATV,Scenic Driving,Guided Tours,Self-Guided Tours - Auto,Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Museum Exhibits",
